delivery_risk,delivery_status,late_delivery_risk,customer_segment,department_name,order_item_profit_ratio,order_item_quantity,order_status,shipping_mode,order_year,order_month,order_day,order_hour,order_minute,order_weekend,ship_year,ship_month,ship_day,ship_hour,ship_minute,ship_weekend
-1,Advance shipping,0,Consumer,Apparel,0.479999989,1,CLOSED,Standard Class,2015,10,25,15,52,1,2015,10,28,15,52,0
-2,Advance shipping,0,Corporate,Golf,-0.730000019,2,COMPLETE,Standard Class,2016,5,21,23,27,1,2016,5,23,23,27,0
1,Late delivery,1,Consumer,Golf,0.349999994,4,PENDING_PAYMENT,Standard Class,2015,12,4,21,46,0,2015,12,9,21,46,0
1,Late delivery,1,Consumer,Outdoors,-1.600000024,4,CLOSED,First Class,2016,6,27,16,34,0,2016,6,29,16,34,0
3,Late delivery,1,Corporate,Apparel,0.25,1,CLOSED,Second Class,2015,11,11,18,28,0,2015,11,16,18,28,0
-1,Advance shipping,0,Consumer,Golf,0.02,4,COMPLETE,Standard Class,2015,9,23,2,36,0,2015,9,26,2,36,1
1,Late delivery,1,Consumer,Fan Shop,0.170000002,4,ON_HOLD,Standard Class,2016,8,22,10,11,0,2016,8,27,10,11,1
-1,Advance shipping,0,Corporate,Fan Shop,0.469999999,1,PENDING,Standard Class,2015,1,21,23,5,0,2015,1,24,23,5,1
2,Late delivery,1,Corporate,Fan Shop,0.349999994,1,COMPLETE,Second Class,2016,8,28,16,29,1,2016,9,1,16,29,0
2,Late delivery,1,Consumer,Fan Shop,0.349999994,5,COMPLETE,Standard Class,2017,1,22,22,25,1,2017,1,28,22,25,1
2,Late delivery,1,Consumer,Fan Shop,0.100000001,5,COMPLETE,Standard Class,2016,11,1,0,27,0,2016,11,7,0,27,0
1,Late delivery,1,Consumer,Fan Shop,0.300000012,3,PENDING_PAYMENT,Standard Class,2016,11,2,23,24,0,2016,11,7,23,24,0
1,Late delivery,1,Corporate,Golf,0.039999999,4,COMPLETE,Second Class,2015,1,3,4,54,1,2015,1,6,4,54,0
3,Late delivery,1,Consumer,Fan Shop,0.479999989,1,COMPLETE,Second Class,2017,9,17,20,41,1,2017,9,22,20,41,0
4,Late delivery,1,Consumer,Apparel,0.340000004,4,PROCESSING,Second Class,2016,11,30,10,24,0,2016,12,6,10,24,0
